팀_A(원정/좌),팀_B(홈/우),경기_결과(팀A승리=1)
KT,두산,2
삼성,SSG,0
롯데,키움,1
SSG,LG,1
두산,삼성,0
NC,롯데,0
한화,KIA,1
키움,KT,1
SSG,LG,0
두산,삼성,1
NC,롯데,1
키움,KT,0
SSG,LG,0
두산,삼성,1
NC,롯데,1
한화,KIA,1
키움,KT,0
LG,두산,0
SSG,롯데,1
NC,KT,1
삼성,한화,0
KIA,키움,1
LG,두산,1
SSG,롯데,0
NC,KT,1
삼성,한화,0
KIA,키움,1
LG,두산,0
SSG,롯데,0
NC,KT,1
삼성,한화,0
KIA,키움,0
한화,키움,1
한화,키움,1
LG,삼성,1
NC,두산,2
KIA,SSG,1
롯데,KT,1
LG,삼성,1
LG,삼성,1
한화,키움,1
NC,두산,1
KIA,SSG,0
롯데,KT,1
NC,두산,1
KIA,SSG,0
롯데,KT,2
키움,LG,0
NC,SSG,0
롯데,KIA,0
두산,한화,1
KT,삼성,0
키움,LG,0
NC,SSG,1
롯데,KIA,1
두산,한화,1
KT,삼성,1
키움,LG,0
NC,SSG,0
롯데,KIA,0
두산,한화,1
KT,삼성,0
KT,LG,1
삼성,롯데,0
두산,KIA,0
SSG,한화,0
키움,NC,0
KT,LG,1
삼성,롯데,0
두산,KIA,0
SSG,한화,1
키움,NC,1
KT,LG,0
삼성,롯데,0
두산,KIA,0
SSG,한화,1
키움,NC,0
SSG,두산,1
LG,롯데,1
KIA,KT,0
삼성,키움,1
한화,NC,1
SSG,두산,1
LG,롯데,2
KIA,KT,0
삼성,키움,1
한화,NC,0
SSG,두산,0
LG,롯데,0
KIA,KT,1
삼성,키움,1
한화,NC,0
NC,두산,2
KIA,삼성,1
LG,SSG,1
롯데,한화,0
KT,키움,1
롯데,한화,1
KT,키움,1
NC,두산,1
KIA,삼성,0
LG,SSG,0
NC,두산,0
KIA,삼성,0
LG,SSG,1
롯데,한화,0
KT,키움,1
한화,LG,0
롯데,삼성,0
NC,SSG,2
키움,KIA,0
두산,KT,0
한화,LG,1
NC,SSG,0
키움,KIA,0
두산,KT,1
한화,LG,0
롯데,삼성,0
NC,SSG,0
키움,KIA,2
두산,KT,0
삼성,LG,1
SSG,롯데,0
KIA,KT,0
한화,NC,1
두산,키움,1
KIA,KT,0
한화,NC,1
삼성,LG,1
SSG,롯데,1
두산,키움,0
두산,키움,0
삼성,LG,1
SSG,롯데,1
KIA,KT,1
한화,NC,0
LG,NC,1
KT,한화,0
KIA,두산,1
키움,롯데,0
삼성,SSG,0
KIA,두산,1
키움,롯데,1
삼성,SSG,0
LG,NC,0
KT,한화,0
KIA,두산,0
키움,롯데,1
삼성,SSG,1
LG,NC,1
KT,한화,1
롯데,두산,0
NC,삼성,0
한화,KIA,0
SSG,KT,0
LG,키움,0
롯데,두산,1
NC,삼성,1
한화,KIA,1
SSG,KT,0
LG,키움,0
LG,키움,1
롯데,두산,1
NC,삼성,0
한화,KIA,0
SSG,KT,1
SSG,LG,1
삼성,KIA,1
롯데,KT,0
두산,한화,0
NC,키움,2
SSG,LG,0
삼성,KIA,0
롯데,KT,1
두산,한화,0
NC,키움,1
SSG,LG,0
삼성,KIA,1
롯데,KT,1
두산,한화,0
NC,키움,1
KIA,NC,0
키움,두산,0
KT,삼성,1
롯데,SSG,1
KIA,NC,1
LG,한화,2
키움,두산,0
KT,삼성,1
롯데,SSG,0
KIA,NC,1
LG,한화,0
NC,LG,1
두산,삼성,0
한화,롯데,1
KT,KIA,0
SSG,키움,1
NC,LG,0
두산,삼성,0
한화,롯데,0
KT,KIA,0
SSG,키움,0
NC,LG,1
두산,삼성,1
한화,롯데,0
KT,KIA,0
SSG,키움,1
삼성,롯데,0
두산,LG,1
KIA,SSG,2
NC,KT,0
두산,LG,0
삼성,롯데,0
KIA,SSG,1
NC,KT,1
키움,한화,0
SSG,두산,0
LG,KT,0
KIA,키움,0
한화,삼성,0
롯데,NC,0
KIA,키움,1
SSG,두산,1
한화,삼성,1
LG,KT,1
롯데,NC,1
KIA,키움,2
KIA,LG,0
KT,롯데,1
한화,SSG,0
두산,NC,0
삼성,키움,0
KIA,LG,1
KT,롯데,1
한화,SSG,1
두산,NC,0
삼성,키움,0
삼성,키움,0
KIA,LG,1
KT,롯데,0
한화,SSG,0
두산,NC,1
삼성,두산,1
LG,롯데,1
SSG,KIA,0
키움,KT,1
NC,한화,0
삼성,두산,0
LG,롯데,0
SSG,KIA,1
키움,KT,0
NC,한화,1
삼성,두산,1
LG,롯데,0
SSG,KIA,0
키움,KT,0
NC,한화,2
KT,두산,1
LG,삼성,0
롯데,KIA,0
SSG,NC,1
한화,키움,1
KT,두산,0
LG,삼성,0
롯데,KIA,0
SSG,NC,1
한화,키움,1
한화,키움,1
KT,두산,0
LG,삼성,1
롯데,KIA,1
SSG,NC,0
키움,LG,0
두산,롯데,1
KT,SSG,0
삼성,NC,0
KIA,한화,0
키움,LG,0
두산,롯데,0
KT,SSG,1
삼성,NC,0
KIA,한화,0
키움,LG,1
두산,롯데,1
KT,SSG,1
삼성,NC,0
KIA,한화,0
롯데,LG,0
한화,KT,1
롯데,LG,1
두산,SSG,1
한화,KT,1
롯데,LG,0
키움,삼성,0
두산,SSG,1
NC,KIA,0
한화,KT,1
한화,두산,1
SSG,삼성,0
LG,KIA,1
KT,NC,1
롯데,키움,0
한화,두산,0
SSG,삼성,0
LG,KIA,1
KT,NC,1
롯데,키움,1
한화,두산,2
SSG,삼성,1
LG,KIA,1
KT,NC,1
롯데,키움,1
LG,두산,1
KIA,롯데,0
삼성,KT,0
키움,NC,0
SSG,한화,0
LG,두산,1
KIA,롯데,0
삼성,KT,1
키움,NC,0
SSG,한화,1
LG,두산,0
KIA,롯데,0
삼성,KT,0
키움,NC,0
SSG,한화,1
KT,LG,0
NC,롯데,0
키움,SSG,0
두산,KIA,1
삼성,한화,1
KT,LG,0
NC,롯데,1
키움,SSG,2
두산,KIA,2
삼성,한화,0
KT,LG,0
NC,롯데,0
키움,SSG,0
두산,KIA,0
삼성,한화,0
SSG,두산,1
LG,삼성,1
한화,KIA,0
KT,NC,0
롯데,키움,0
SSG,두산,0
LG,삼성,1
KT,NC,0
롯데,키움,1
롯데,키움,1
SSG,두산,1
LG,삼성,1
KT,NC,2
두산,LG,0
KIA,롯데,1
삼성,SSG,1
키움,NC,1
KT,한화,1
두산,LG,1
KIA,롯데,0
삼성,SSG,0
키움,NC,1
KT,한화,0
두산,LG,0
KIA,롯데,1
삼성,SSG,1
키움,NC,1
KT,한화,1
한화,LG,0
SSG,롯데,1
삼성,KT,1
KIA,NC,0
두산,키움,1
한화,LG,0
삼성,KT,0
두산,키움,1
두산,키움,0
한화,LG,1
SSG,롯데,1
삼성,KT,0
KIA,NC,0
NC,두산,1
KIA,삼성,1
키움,SSG,0
LG,KT,1
롯데,한화,0
KIA,삼성,1
롯데,한화,0
NC,두산,0
KIA,삼성,1
키움,SSG,1
롯데,한화,0
KIA,두산,0
삼성,롯데,1
LG,SSG,1
한화,NC,1
KT,키움,0
KIA,두산,0
삼성,롯데,1
LG,SSG,0
한화,NC,0
KT,키움,0
KT,키움,1
KIA,두산,0
삼성,롯데,2
LG,SSG,1
한화,NC,0
롯데,LG,0
키움,KIA,0
SSG,KT,0
삼성,NC,1
두산,한화,1
롯데,LG,0
키움,KIA,1
SSG,KT,1
삼성,NC,1
두산,한화,1
롯데,LG,2
키움,KIA,1
SSG,KT,1
삼성,NC,0
두산,한화,1
KT,두산,1
키움,삼성,0
LG,KIA,1
롯데,NC,0
SSG,한화,1
KT,두산,1
키움,삼성,0
LG,KIA,1
롯데,NC,0
SSG,한화,0
KT,두산,1
키움,삼성,0
LG,KIA,1
롯데,NC,1
SSG,한화,0
삼성,두산,1
KT,롯데,0
KIA,SSG,0
LG,NC,0
한화,키움,1
삼성,두산,1
KT,롯데,1
KIA,SSG,1
LG,NC,1
한화,키움,1
삼성,두산,0
KT,롯데,0
KIA,SSG,1
LG,NC,1
한화,키움,1
키움,LG,1
두산,롯데,1
NC,SSG,0
KIA,KT,1
삼성,한화,1
키움,LG,0
두산,롯데,2
NC,SSG,1
KIA,KT,0
삼성,한화,1
키움,LG,1
두산,롯데,0
NC,SSG,0
KIA,KT,0
삼성,한화,1
롯데,LG,0
키움,SSG,0
NC,KT,1
KIA,한화,0
키움,삼성,1
SSG,KIA,1
롯데,KT,0
NC,한화,0
LG,KT,1
두산,NC,1
키움,삼성,0
롯데,SSG,0
두산,NC,1
한화,삼성,1
KIA,NC,1
SSG,LG,1
한화,삼성,0
KIA,NC,0
한화,롯데,1
두산,KT,0
LG,키움,0
LG,두산,1
한화,롯데,1
삼성,KIA,0
SSG,NC,0
KT,LG,1
SSG,삼성,1
롯데,KIA,1
NC,키움,0
두산,KIA,0
KIA,LG,1
KT,삼성,1
SSG,롯데,0
두산,NC,0
키움,한화,0
KIA,LG,0
KT,삼성,0
두산,NC,0
키움,한화,1
키움,한화,0
키움,두산,1
롯데,삼성,0
한화,KIA,1
LG,KT,1
SSG,NC,1
키움,두산,1
한화,KIA,1
SSG,NC,0
LG,KT,1
LG,KT,1
키움,두산,0
한화,KIA,1
삼성,NC,1
롯데,NC,1
삼성,LG,1
키움,롯데,1
두산,SSG,0
NC,KIA,0
한화,KT,0
두산,SSG,0
NC,KIA,1
삼성,KT,0
두산,SSG,1
두산,삼성,0
KIA,SSG,0
키움,KT,0
NC,롯데,1
롯데,삼성,0
LG,NC,0
KIA,키움,1
한화,두산,0
키움,삼성,0
KT,SSG,1
LG,롯데,1
NC,두산,1
삼성,롯데,0
KT,SSG,0
LG,한화,0
SSG,두산,1
NC,KIA,1
LG,한화,1
롯데,두산,0
삼성,키움,1
롯데,SSG,0
NC,KIA,1
LG,한화,0
두산,LG,1
KIA,삼성,0
KT,NC,0
롯데,한화,0
SSG,키움,1
KIA,LG,0
두산,삼성,0
키움,SSG,1
롯데,NC,0
KT,한화,1
KIA,LG,0
두산,삼성,0
키움,SSG,0
롯데,NC,0
KT,한화,1
한화,두산,1
SSG,롯데,1
NC,KIA,1
삼성,KT,1
LG,키움,0
한화,두산,1
SSG,롯데,1
NC,KIA,1
삼성,KT,1
LG,키움,1
한화,두산,0
SSG,롯데,1
NC,KIA,0
삼성,KT,0
LG,키움,1
키움,두산,1
KT,롯데,1
한화,SSG,1
삼성,KIA,1
LG,NC,1
키움,두산,0
KT,롯데,0
한화,SSG,1
삼성,KIA,0
LG,NC,1
SSG,LG,0
NC,삼성,0
두산,KT,1
KIA,한화,1
롯데,키움,1
KIA,한화,1
SSG,LG,0
NC,삼성,0
두산,KT,0
롯데,키움,1
SSG,LG,0
NC,삼성,0
두산,KT,0
KIA,한화,1
롯데,키움,0
롯데,LG,0
두산,SSG,1
키움,KIA,0
KT,NC,0
삼성,한화,1
롯데,LG,1
두산,SSG,0
키움,KIA,0
KT,NC,1
삼성,한화,1
롯데,LG,0
두산,SSG,0
키움,KIA,0
KT,NC,1
삼성,한화,1
KIA,두산,1
키움,KT,0
LG,삼성,0
KIA,두산,0
한화,롯데,1
키움,KT,0
SSG,NC,1
KIA,두산,0
LG,삼성,1
한화,롯데,1
SSG,NC,0
키움,KT,1
한화,LG,0
SSG,삼성,1
두산,롯데,1
KIA,KT,0
NC,키움,0
한화,LG,0
SSG,삼성,1
두산,롯데,1
KIA,KT,0
NC,키움,0
한화,LG,1
SSG,삼성,1
두산,롯데,0
KIA,KT,0
NC,키움,1
LG,두산,1
KT,SSG,0
롯데,KIA,0
NC,한화,1
삼성,키움,0
LG,두산,1
KT,SSG,0
롯데,KIA,0
NC,한화,0
삼성,키움,0
LG,두산,0
KT,SSG,1
롯데,KIA,2
NC,한화,1
삼성,키움,0
삼성,두산,1
키움,롯데,0
LG,KT,0
KIA,NC,0
SSG,한화,0
삼성,두산,0
키움,롯데,1
LG,KT,0
KIA,NC,1
SSG,한화,1
삼성,두산,0
키움,롯데,0
LG,KT,1
KIA,NC,0
SSG,한화,1
NC,LG,0
한화,삼성,0
롯데,SSG,1
KT,KIA,1
두산,키움,1
롯데,SSG,1
NC,LG,0
한화,삼성,1
KT,KIA,0
두산,키움,0
NC,LG,1
한화,삼성,0
롯데,SSG,1
KT,KIA,1
두산,키움,1
두산,LG,0
키움,삼성,0
NC,SSG,2
한화,KIA,0
롯데,KT,0
두산,LG,0
키움,삼성,0
NC,SSG,0
한화,KIA,1
롯데,KT,1
두산,LG,1
키움,삼성,0
NC,SSG,1
한화,KIA,1
SSG,두산,1
KIA,롯데,1
삼성,NC,1
LG,한화,1
KT,키움,1
LG,한화,0
SSG,두산,0
KIA,롯데,1
삼성,NC,1
KT,키움,2
SSG,두산,0
KIA,롯데,0
삼성,NC,1
LG,한화,0
KT,키움,0
삼성,LG,1
NC,롯데,1
두산,KIA,1
SSG,KT,1
한화,키움,1
삼성,LG,0
NC,롯데,0
두산,KIA,0
SSG,KT,0
한화,키움,0
삼성,LG,1
NC,롯데,1
두산,KIA,0
SSG,KT,1
한화,키움,1
롯데,두산,1
KIA,삼성,1
LG,SSG,1
한화,KT,1
키움,NC,1
한화,KT,1
롯데,두산,0
KIA,삼성,0
LG,SSG,0
키움,NC,0
롯데,두산,0
KIA,삼성,1
LG,SSG,1
한화,KT,0
키움,NC,1
NC,두산,0
LG,KIA,0
롯데,한화,1
SSG,키움,0
KT,삼성,0
SSG,키움,0
NC,두산,0
LG,KIA,1
롯데,한화,1
SSG,키움,0
KT,삼성,0
키움,LG,1
삼성,롯데,1
SSG,KIA,0
NC,KT,0
두산,한화,0
키움,LG,0
삼성,롯데,0
SSG,KIA,0
NC,KT,0
두산,한화,0
키움,LG,0
삼성,롯데,1
SSG,KIA,0
NC,KT,1
두산,한화,0
KT,두산,1
LG,롯데,1
KIA,키움,1
KT,두산,0
LG,롯데,1
삼성,SSG,1
한화,NC,0
KIA,키움,1
KT,두산,1
LG,롯데,0
삼성,SSG,1
한화,NC,1
KIA,키움,1
KIA,LG,0
두산,삼성,1
롯데,NC,1
SSG,한화,0
KT,키움,1
두산,삼성,1
KIA,LG,0
롯데,NC,0
SSG,한화,0
KT,키움,1
KIA,LG,0
두산,삼성,0
롯데,NC,0
SSG,한화,0
KT,키움,1
한화,두산,0
NC,삼성,0
키움,SSG,1
롯데,KIA,0
LG,KT,1
한화,두산,2
NC,삼성,1
키움,SSG,0
롯데,KIA,1
LG,KT,0
한화,두산,0
NC,삼성,1
키움,SSG,0
롯데,KIA,0
LG,KT,1
키움,두산,0
한화,롯데,1
KT,SSG,0
삼성,KIA,0
LG,NC,1
KT,SSG,1
키움,두산,0
한화,롯데,1
삼성,KIA,1
LG,NC,0
키움,두산,1
한화,롯데,1
KT,SSG,0
삼성,KIA,0
LG,NC,0
SSG,LG,0
두산,롯데,1
삼성,KT,0
KIA,한화,1
NC,키움,0
SSG,LG,0
두산,롯데,0
삼성,KT,0
KIA,한화,0
NC,키움,1
SSG,LG,0
두산,롯데,1
삼성,KT,1
KIA,한화,0
NC,키움,1
롯데,LG,1
SSG,삼성,1
두산,KIA,1
NC,KT,0
한화,키움,0
롯데,LG,0
SSG,삼성,0
두산,KIA,0
NC,KT,0
한화,키움,0
한화,키움,0
롯데,LG,0
SSG,삼성,0
두산,KIA,1
KT,두산,1
키움,삼성,0
롯데,SSG,1
LG,KIA,1
한화,NC,0
KT,두산,1
키움,삼성,0
롯데,SSG,1
LG,KIA,0
한화,NC,0
KT,두산,0
키움,삼성,0
롯데,SSG,2
LG,KIA,0
한화,NC,0
두산,LG,0
KIA,KT,1
SSG,NC,0
삼성,한화,2
롯데,키움,1
두산,LG,0
KIA,KT,0
SSG,NC,1
삼성,한화,0
롯데,키움,1
롯데,키움,1
두산,LG,0
KIA,KT,1
SSG,NC,1
삼성,한화,1
삼성,LG,0
NC,롯데,0
SSG,KT,0
두산,한화,0
KIA,키움,1
삼성,LG,0
NC,롯데,0
SSG,KT,1
두산,한화,1
KIA,키움,1
삼성,LG,1
NC,롯데,1
SSG,KT,0
두산,한화,1
KIA,키움,1
KIA,두산,0
KT,삼성,0
LG,롯데,0
한화,SSG,1
키움,NC,0
KIA,두산,0
KT,삼성,0
LG,롯데,1
한화,SSG,1
키움,NC,1
KIA,두산,1
KT,삼성,0
LG,롯데,0
한화,SSG,1
키움,NC,0
롯데,두산,0
SSG,KIA,0
삼성,NC,1
LG,키움,0
